idSphot,pays,region,departement,departementLat,departementLng,ville,villeLat,villeLng,nomSecours,nomSphot,sphotLat,sphotLng,typeSphot
FR-XXX-0001,France,,,,,07167,,,,FRK2207167D007445,44.80404033627,4.61683106893,
FR-XXX-0001,France,,,,,07189,,,,FRK2207189D007001,44.49434846528,4.21711771154,
FR-XXX-0001,France,,,,,07192,,,,FRK2207192D007601,45.08353949489,4.48239799333,
FR-XXX-0001,France,,,,,07199,,,,FRK2207199D007004,44.48022985926,4.25343307468,
FR-XXX-0001,France,,,,,07201,,,,FRK2207201D007100,44.45168097049,4.33545495834,
FR-XXX-0001,France,,,,,07201,,,,FRK2207201D007123,44.47697885165,4.34814962929,
FR-XXX-0001,France,,,,,07237,,,,FRK2207237D007455,44.82854566954,4.68208686877,
FR-XXX-0001,France,,,,,07247,,,,FRK2207247D007791,44.58882852850,4.52750067076,LAC
FR-XXX-0001,France,,,,,07259,,,,FRK2207259D007180,44.27858338905,4.61748167859,
FR-XXX-0001,France,,,,,07262,,,,FRK2207262D007001,44.60069196127,3.98133777933,
FR-XXX-0001,France,,,,,07267,,,,FRK2207267D007545,44.86678794552,4.27925787997,LAC
FR-XXX-0001,France,,,,,07268,,,,FRK2207268D007170,44.31239814731,4.55197677504,
FR-XXX-0001,France,,,,,07268,,,,FRK2207268D007175,44.30254157172,4.56138540524,
FR-XXX-0001,France,,,,,07269,,,,FRK2207269D007502,44.94150106133,4.36691328304,LAC
FR-XXX-0001,France,,,,,07304,,,,FRK2207304D007851,44.39759316547,4.38548808317,
FR-XXX-0001,France,,,,,07306,,,,FRK2207306D007789,44.42646231070,4.35468518178,
FR-XXX-0001,France,,,,,07315,,,,FRK2207315D007342,44.62986159007,4.19796540467,
FR-XXX-0001,France,,,,,07322,,,,FRK2207322D007010,44.67128391027,4.22138174043,
FR-XXX-0001,France,,,,,07330,,,,FRK2207330D007145,44.38900101021,4.40633337750,
FR-XXX-0001,France,,,,,07330,,,,FRK2207330D007150,44.38244918823,4.41597538628,
FR-XXX-0001,France,,,,,07330,,,,FRK2207330D007151,44.38183001388,4.41441576564,
FR-XXX-0001,France,,,,,07334,,,,FRK2207334D007272,44.40873863235,4.18323781034,
FR-XXX-0001,France,,,,,07338,,,,FRK2207338D007915,44.89208555621,4.65647451585,LAC
FR-XXX-0001,France,,,,,07348,,,,FRK2207348D007070,44.54946709734,4.41288658368,
FR-XXX-0001,France,,,,,15011,,,,FRK1215011D015165,45.08454385158,2.21211660382,LAC
FR-XXX-0001,France,,,,,15027,,,,FRK1215027D015130,44.72055747705,2.35503229281,LAC
FR-XXX-0001,France,,,,,15073,,,,FRK1215073D015170,44.91185459909,3.11833003294,LAC
FR-XXX-0001,France,,,,,15088,,,,FRK1215088D015070,44.91353844962,2.24883234648,LAC
FR-XXX-0001,France,,,,,15092,,,,FRK1215092D015010,45.44378121242,2.50542819217,LAC
FR-XXX-0001,France,,,,,15092,,,,FRK1215092D015015,45.42827328797,2.50097508086,LAC
FR-XXX-0001,France,,,,,15124,,,,FRK1215124D015030,45.30235162189,2.58460584576,LAC
FR-XXX-0001,France,,,,,15153,,,,FRK1215153D015050,45.07939420942,2.22897783104,LAC
FR-XXX-0001,France,,,,,15189,,,,FRK1215189D015080,44.93303975421,2.22892353032,LAC
FR-XXX-0001,France,,,,,15189,,,,FRK1215189D015085,44.93505340580,2.21814628086,LAC
FR-XXX-0001,France,,,,,15240,,,,FRK1215240D015020,45.40065786619,2.66338861338,LAC
FR-XXX-0001,France,,,,,15243,,,,FRK1215243D015240,45.24716447954,2.53679535538,LAC
FR-XXX-0001,France,,,,,15260,,,,FRK1215260D015110,44.64678530974,2.45536692910,
FR-XXX-0001,France,,,,,15260,,,,FRK1215260D015111,44.64594576882,2.40094559715,RIVIÈRE
FR-XXX-0001,France,,,,,26035,,,,FRK2326035D026370,44.78472053157,5.15026952751,
FR-XXX-0001,France,,,,,26037,,,,FRK2326037D026940,44.86564841073,4.92848870443,LAC
FR-XXX-0001,France,,,,,26063,,,,FRK2326063D026715,44.29537551455,5.28190248884,
FR-XXX-0001,France,,,,,26086,,,,FRK2326086D026960,44.68324809240,5.45122569892,LAC
FR-XXX-0001,France,,,,,26113,,,,FRK2326113D026217,44.74274083103,5.38271442991,
FR-XXX-0001,France,,,,,26113,,,,FRK2326113D026219,44.75014962423,5.36567377827,
FR-XXX-0001,France,,,,,26113,,,,FRK2326113D026268,44.75850041953,5.35377528568,
FR-XXX-0001,France,,,,,26167,,,,FRK2326167D026210,44.59992092707,5.45947944483,
FR-XXX-0001,France,,,,,26183,,,,FRK2326183D026255,44.70856724926,5.08840712497,LAC
FR-XXX-0001,France,,,,,26192,,,,FRK2326192D026520,44.44487895739,5.01169648285,
FR-XXX-0001,France,,,,,26198,,,,FRK2326198D026970,44.55492517109,4.69609834101,LAC
FR-XXX-0001,France,,,,,26215,,,,FRK2326215D026900,44.46442552382,5.36731222089,LAC
FR-XXX-0001,France,,,,,26235,,,,FRK2326235D026920,44.36505090775,4.68295700429,LAC
FR-XXX-0001,France,,,,,26289,,,,FRK2326289D026240,44.69008785335,5.21031361604,
FR-XXX-0001,France,,,,,26289,,,,FRK2326289D026245,44.69306308218,5.18293056225,
FR-XXX-0001,France,,,,,26295,,,,FRK2326295D026990,45.17656154171,4.88415136253,LAC
FR-XXX-0001,France,,,,,26296,,,,FRK2326296D026347,44.67928650841,5.26302112209,
FR-XXX-0001,France,,,,,26299,,,,FRK2326299D026267,44.76260439254,5.29293492913,
FR-XXX-0001,France,,,,,26301,,,,FRK2326301D026910,45.13203868910,5.00719563662,LAC
FR-XXX-0001,France,,,,,26301,,,,FRK2326301D026915,45.13394448947,5.00639879515,LAC
FR-XXX-0001,France,,,,,26344,,,,FRK2326344D026415,44.62634717849,5.03508270543,
FR-XXX-0001,France,,,,,26368,,,,FRK2326368D026230,44.71671933058,5.26822727316,
FR-XXX-0001,France,,,,,38006,,,,FRK2438006D038300,45.40797810838,6.08617105032,LAC
FR-XXX-0001,France,,,,,38082,,,,FRK2438082D038001,45.43446186710,5.51728590073,LAC
FR-XXX-0001,France,,,,,38106,,,,FRK2438106D038031,45.00256179424,5.77850159548,LAC
FR-XXX-0001,France,,,,,38128,,,,FRK2438128D038111,44.81613067859,5.93301507741,LAC
FR-XXX-0001,France,,,,,38203,,,,FRK2438203D038030,45.02360000938,5.78169278940,LAC
FR-XXX-0001,France,,,,,38231,,,,FRK2438231D038400,45.50886814374,5.20414021434,LAC
FR-XXX-0001,France,,,,,38256,,,,FRK2438256D038005,45.46753063142,5.55610789521,LAC
FR-XXX-0001,France,,,,,38292,,,,FRK2438292D038002,45.45284161493,5.52445488459,LAC
FR-XXX-0001,France,,,,,38292,,,,FRK2438292D038003,45.47284498013,5.55140969784,LAC
FR-XXX-0001,France,,,,,38304,,,,FRK2438304D038004,44.96905103251,5.78015226253,LAC
FR-XXX-0001,France,,,,,38314,,,,FRK2438314D038240,45.44424086092,6.00655084127,LAC
FR-XXX-0001,France,,,,,38343,,,,FRK2438343D038080,45.58071631506,5.64028532131,LAC
FR-XXX-0001,France,,,,,38347,,,,FRK2438347D038090,45.25116208958,5.24601002909,LAC
FR-XXX-0001,France,,,,,#N/A,,,,FRK2438449D038120,45.61914413134,5.12946425386,LAC
FR-XXX-0001,France,,,,,38453,,,,FRK2438453D038270,45.10170164374,5.29262336006,LAC
FR-XXX-0001,France,,,,,38462,,,,FRK2438462D038040,44.99452689238,5.77591907760,LAC
FR-XXX-0001,France,,,,,38503,,,,FRK2438503D038060,45.31737589377,5.94450123043,LAC
FR-XXX-0001,France,,,,,38518,,,,FRK2438518D038160,44.89250823353,5.90064405044,LAC
FR-XXX-0001,France,,,,,38532,,,,FRK2438532D038170,45.64914931419,5.28300226910,LAC
FR-XXX-0001,France,,,,,38538,,,,FRK2438538D038180,45.22714937666,5.84273077604,LAC
FR-XXX-0001,France,,,,,42159,,,,FRK2542159D042020,45.80773857424,3.76772309712,LAC
FR-XXX-0001,France,,,,,42204,,,,FRK2542204D042030,45.41890826935,4.07503382908,LAC
FR-XXX-0001,France,,,,,42218,,,,FRK2542218D042061,45.44792284744,4.25463609417,LAC
FR-XXX-0001,France,,,,,42268,,,,FRK2542268D042045,45.91215162994,4.06214144275,LAC
FR-XXX-0001,France,,,,,42270,,,,FRK2542270D042050,45.40427853962,4.24274658214,LAC
FR-XXX-0001,France,,,,,42287,,,,FRK2542287D042065,45.26419820780,4.48753289459,LAC
FR-XXX-0001,France,,,,,42318,,,,FRK2542318D042075,45.39248248782,3.95412577442,LAC
FR-XXX-0001,France,,,,,42332,,,,FRK2542332D042081,45.98440375072,4.03697512061,LAC
FR-XXX-0001,France,,,,,43012,,,,FRK1343012D043133,45.36828895147,4.19671607864,FLEUVE
